1.1, Explain how locations are described on Earth using geographic regions, latitude/longitude, and local directions.
1.2, Summarize what constellations are and describe how they are used to identify patterns of stars and to divide the sky into “geographic” regions.
1.3, Explain how the celestial sphere is used to describe the positions of stars in the sky.
1.4, Describe the three different ways we locate objects in the sky - constellations, altitude/azimuth, and right ascension/declination.
2.1, Relate how changing the latitude of an observer affects the altitude and azimuth of stars in the sky.
2.2, Explain how an observer’s location on Earth where the observer sees the star Polaris.
2.3, Describe how the Earth rotates.
2.4, Predict how the Sun and stars as the rise and set as seen from Murfreesboro.
2.5, Summarize the connection between time and longitude.
2.6, Explain how the Earth’s rotation affects the view of the stars around Polaris.
3.1, Describe how stars move around Polaris as seen from different latitudes.
3.2, Predict the motion of the Sun and the stars as they rise and set as seen from different latitudes.
3.3, Describe the Celestial sphere, the North Celestial Pole, and the Celestial Equator.
3.4, Interpret the shapes of star trails to determine the observer’s location on Earth and the direction they are facing.
3.5, Distinguish between annual motion and daily motion, and describe how they differ from each other.
3.6, Related the tilt of the Earth’s axis (relative to its orbit) to seasonal changes in the Sun’s motion and the weather.
4.1, Distinguish between sidereal time and solar time.
4.2, Explain the changes in the observed position of the Sun caused by annual motion.
4.3, Identify that precession of the equinoxes causes shifts in the seasons over the centuries.
4.4, Describe what causes the phases of the moon.
4.5, Illustrate the sequence of moon phases and how orbital positions are related to each phase.
4.6, Explain why eclipses don’t occur every month and why solar eclipses are less commonly observed than lunar eclipses.
5.1, Describe the apparent motion of the planets and discuss why this motion appears to be so much more complex than other celestial objects.
5.2, Discuss why the Ancient Greeks used epicycles to describe planetary motion.
5.3, Describe the basic features of the heliocentric model by Copernicus and distinguish it from the model created by Kepler and Newton.
5.4, Discuss the key observations by Galileo and Brahe and explain their significance.
7.1, Describe how the atmosphere affects the temperature and surface features on Earth, and how changes in the atmosphere affect the climate.
7.2, Explain the internal structure of the Earth and plate tectonics have formed the continents and mountains on Earth.
7.3, Describe how the Earth’s magnetic field is created.
7.4, Contrast how and why the surface features on the moon, its atmosphere and its magnetic field are different than those on the Earth.
7.5, Explain how tides are caused by differences in the gravitational force that is felt across a body.
8.1, Describe the geological forces that drive the formation of surface features on the terrestrial planets and how different conditions have lead to different surface features on the planets.
8.2, Explain how the rotation rates of planets and the size of the core affect the formation of magnetic fields.
8.3, Explain how temperature, surface gravity, atomic weight of gases, and magnetic fields affect atmospheric composition and density.
8.4, Be able to describe the geologies, rotations, surface temperatures, atmospheres, magnetic fields, and unusual features of each of the terrestrial planets.
9.1, Analyze how molecular weight, surface gravity and planetary temperature determine the composition of a planet’s atmosphere.
